Direction	Term	Adjusted P-value	Odds Ratio	Genes
Up	Positive Regulation Of Mitotic Cell Cycle (GO:0045931)	0.002747136	92.34259	FOXA1;EIF4EBP1;MDM2
Up	Regulation Of Mitotic Cell Cycle (GO:0007346)	0.005551215	25.23713	FOXA1;MDM2;EIF4EBP1;MKI67
Up	Positive Regulation Of Cell Cycle (GO:0045787)	0.01315911	35.67742	FOXA1;MDM2;EIF4EBP1
Up	Nuclear Chromosome Segregation (GO:0098813)	0.02035166	101.8163	TOP2A;CENPF
Up	Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047)	0.02072005	89.08036	FOXA1;EPCAM
Up	Response To Lipid (GO:0033993)	0.03106403	20.62617	FOXA1;SCD;PELI1
Up	Positive Regulation Of miRNA Transcription (GO:1902895)	0.08533898	34.71951	FOXA1;KLF5
Up	Positive Regulation Of miRNA Metabolic Process (GO:2000630)	0.09670541	30.27812	FOXA1;KLF5
Up	Protein K63-linked Ubiquitination (GO:0070534)	0.1041145	27.35989	TRAF4;PELI1
Up	Regulation Of miRNA Transcription (GO:1902893)	0.1100052	24.95363	FOXA1;KLF5
Down	Intermediate Filament Organization (GO:0045109)	4.483694e-08	120.4597	KRT16;KRT15;KRT14;KRT23;KRT5;KRT6B
Down	Supramolecular Fiber Organization (GO:0097435)	8.144548e-06	29.70507	KRT16;KRT15;KRT14;KRT23;MYH11;KRT5;KRT6B
Down	Regulation Of Cell Migration (GO:0030334)	4.712755e-05	21.36721	SFRP1;KRT16;CEACAM6;CAV1;KRT5;EGFR;MYLK
Down	Cellular Response To Estradiol Stimulus (GO:0071392)	0.0001655422	185.3963	SFRP1;ESR1;EGFR
Down	Response To Estradiol (GO:0032355)	0.0005181147	112.5	SFRP1;ESR1;EGFR
Down	Response To Estrogen (GO:0043627)	0.0005735607	101.5976	SFRP1;CAV1;ESR1
Down	Epithelial Cell Differentiation (GO:0030855)	0.0008792649	34.46181	KRT16;KRT15;KRT14;KRT23
Down	Epithelium Development (GO:0060429)	0.001412184	29.37481	KRT16;KRT15;KRT14;KRT23
Down	Response To Vitamin D (GO:0033280)	0.001744449	332.8667	SFRP1;AQP3
Down	Response To Organic Cyclic Compound (GO:0014070)	0.001744449	57.19522	SFRP1;AQP3;ESR1
